f	power	dB
0.000000	0.000001	-62.934655
0.100000	0.000001	-62.934457
0.200000	0.000001	-62.933863
0.300000	0.000001	-62.932873
0.400000	0.000001	-62.931486
0.500000	0.000001	-62.929703
0.600000	0.000001	-62.927524
0.700000	0.000001	-62.924948
0.800000	0.000001	-62.921975
0.900000	0.000001	-62.918606
1.000000	0.000001	-62.914839
1.100000	0.000001	-62.910674
1.200000	0.000001	-62.906112
1.300000	0.000001	-62.901152
1.400000	0.000001	-62.895793
1.500000	0.000001	-62.890036
1.600000	0.000001	-62.883879
1.700000	0.000001	-62.877323
1.800000	0.000001	-62.870366
1.900000	0.000001	-62.863009
2.000000	0.000001	-62.855251
2.100000	0.000001	-62.847091
2.200000	0.000001	-62.838529
2.300000	0.000001	-62.829565
2.400000	0.000001	-62.820196
2.500000	0.000001	-62.810424
2.600000	0.000001	-62.800247
2.700000	0.000001	-62.789664
2.800000	0.000001	-62.778676
2.900000	0.000001	-62.767280
3.000000	0.000001	-62.755476
3.100000	0.000001	-62.743263
3.200000	0.000001	-62.730641
3.300000	0.000001	-62.717609
3.400000	0.000001	-62.704165
3.500000	0.000001	-62.690309
3.600000	0.000001	-62.676039
3.700000	0.000001	-62.661356
3.800000	0.000001	-62.646256
3.900000	0.000001	-62.630740
4.000000	0.000001	-62.614807
4.100000	0.000001	-62.598455
4.200000	0.000001	-62.581683
4.300000	0.000001	-62.564489
4.400000	0.000001	-62.546873
4.500000	0.000001	-62.528834
4.600000	0.000001	-62.510369
4.700000	0.000001	-62.491478
4.800000	0.000001	-62.472160
4.900000	0.000001	-62.452411
5.000000	0.000001	-62.432233
5.100000	0.000001	-62.411622
5.200000	0.000001	-62.390577
5.300000	0.000001	-62.369097
5.400000	0.000001	-62.347180
5.500000	0.000001	-62.324825
5.600000	0.000001	-62.302029
5.700000	0.000001	-62.278792
5.800000	0.000001	-62.255110
5.900000	0.000001	-62.230983
6.000000	0.000001	-62.206409
6.100000	0.000001	-62.181386
6.200000	0.000001	-62.155911
6.300000	0.000001	-62.129983
6.400000	0.000001	-62.103600
6.500000	0.000001	-62.076760
6.600000	0.000001	-62.049461
6.700000	0.000001	-62.021700
6.800000	0.000001	-61.993475
6.900000	0.000001	-61.964785
7.000000	0.000001	-61.935626
7.100000	0.000001	-61.905997
7.200000	0.000001	-61.875896
7.300000	0.000001	-61.845319
7.400000	0.000001	-61.814264
7.500000	0.000001	-61.782729
7.600000	0.000001	-61.750711
7.700000	0.000001	-61.718208
7.800000	0.000001	-61.685217
7.900000	0.000001	-61.651736
8.000000	0.000001	-61.617760
8.100000	0.000001	-61.583289
8.200000	0.000001	-61.548318
8.300000	0.000001	-61.512845
8.400000	0.000001	-61.476866
8.500000	0.000001	-61.440380
8.600000	0.000001	-61.403382
8.700000	0.000001	-61.365870
8.800000	0.000001	-61.327840
8.900000	0.000001	-61.289289
9.000000	0.000001	-61.250213
9.100000	0.000001	-61.210610
9.200000	0.000001	-61.170476
9.300000	0.000001	-61.129806
9.400000	0.000001	-61.088599
9.500000	0.000001	-61.046849
